"","method","tau"
"1","RK45",0.0200684116215508
"2","RK45",0.127418288427968
"3","RK45",2.83391289057309
"4","RK45",0.0758373339208094
"5","RK45",0.0412336632255638
"6","RK45",0.058717280711581
"7","RK45",0.0213010406578486
"8","RK45",0.0431177309568231
"9","BDF",0.10288912844303
"10","BDF",0.0910793472211925
"11","BDF",0.088094449455184
"12","BDF",0.114555194177304
"13","BDF",0.0802745361265654
"14","BDF",0.200277641746199
"15","BDF",0.118241459344434
"16","BDF",0.123797705181322
"17","Late switch",0.0785550560178205
"18","Late switch",0.10343104409625
"19","Late switch",0.102590292127413
"20","Late switch",0.0594324160332565
"21","Late switch",0.0677879844737517
"22","Late switch",0.14981726814085
"23","Late switch",0.0539855697464547
"24","Late switch",0.0842754794145079
"25","Early switch",0.053499979544939
"26","Early switch",0.0732530201775562
"27","Early switch",0.0955029601690308
"28","Early switch",0.0550654431084353
"29","Early switch",0.055995126709084
"30","Early switch",0.0540223553354324
"31","Early switch",0.0550771634068013
"32","Early switch",0.112507740492463
